id	size	name	sourceinfo	reason	witness	replacement	status
3895978	1	Taraxacum nitrophilum	gbif:5696826	id-retired/name-retired		*		
3893315	1	Adenophora biloba	gbif:5409417	id-retired/name-retired		*		
3894647	1	Cirsium kosmelii	gbif:3112755	id-retired/name-retired		*		
3895977	1	Taraxacum panoplum	gbif:5696555	id-retired/name-retired		*		
3894648	1	Cirsium hypoleucum	gbif:3113672	id-retired/name-retired		*		
3894649	1	Cirsium valentinum	gbif:3113332	id-retired/name-retired		*		
3895979	1	Taraxacum ciscaucasicum	gbif:5394128	id-retired/name-retired		*		
3895970	1	Taraxacum paullum	gbif:5696479	id-retired/name-retired		*		
3895972	1	Taraxacum glaucolivaceum	gbif:5698055	id-retired/name-retired		*		
3895971	1	Taraxacum nordhagenii	gbif:5696820	id-retired/name-retired		*		
3894642	1	Cirsium richterianum	gbif:3112925	id-retired/name-retired		*		
3895974	1	Taraxacum pseudohabile	gbif:5696052	id-retired/name-retired		*		
3894643	1	Cirsium albidum	gbif:3113256	id-retired/name-retired		*		
3895973	1	Taraxacum globiceps	gbif:5698053	id-retired/name-retired		*		
3894644	2	Cirsium ligulare	gbif:3113035	id-retired/name-retired		*		
3895976	1	Taraxacum glaphyrum	gbif:5698065	id-retired/name-retired		*		
3894645	1	Cirsium praeteriens	gbif:3113269	id-retired/name-retired		*		
3895975	1	Taraxacum glauciniforme	gbif:5698060	id-retired/name-retired		*		
260103	2	Cyathocline	ncbi:1204775,gbif:3142260	newly-hidden[incertae_sedis]	Cyathocline	=		
